audio_director: EXIT=0 | MODULE_23_AUDIO_TEST: ALL PASS (31)
camera_feedback: EXIT=0 | CAMERA_FB_TEST: ALL PASS (7)
clone_viz: EXIT=0 | MODULE_19_TEST: ALL PASS (162)
content: EXIT=0 | MODULE_03_TEST: ALL PASS (139)
dance: EXIT=0 | MODULE_07B_TEST: ALL PASS (90)
dating: EXIT=0 | MODULE_09_TEST: ALL PASS (163)
final_date: EXIT=0 | MODULE_21_TEST: ALL PASS (78)
first_clone: EXIT=0 | MODULE_17_TEST: ALL PASS (131)
game_hud_smoke: EXIT=0 | MODULE_22_HUD_SMOKE: ALL PASS (14)
girl_discovery: EXIT=0 | MODULE_08_TEST: ALL PASS (129)
late_game: EXIT=0 | MODULE_20_TEST: ALL PASS (101)
m23_indep_qa_headless: EXIT=0 | M23_INDEP_QA: DONE passed=45 failed=0
m23_indep_qa_windowed: EXIT=0 | M23_INDEP_QA: DONE passed=45 failed=0
main_boot: EXIT=0 | 
media: EXIT=0 | MODULE_15_TEST: ALL PASS (146)
money: EXIT=0 | MODULE_07D_TEST: ALL PASS (129)
progression_ui: EXIT=0 | MODULE_22_PROGRESSION_UI_TEST: ALL PASS (126)
rivals: EXIT=0 | MODULE_06_TEST: ALL PASS (120)
sigma: EXIT=0 | MODULE_07C_TEST: ALL PASS (100)
slap: EXIT=0 | MODULE_07A_TEST: ALL PASS (108)
windowed_pngs: 01_apartment_hud.png, 02_lab.png, 03_final_location_beacon.png
