save_system_self_test | EXIT=0 | MODULE_24_SAVE_IO_TEST: ALL PASS (57)
game_state_save_self_test | EXIT=0 | MODULE_24_DOMAIN_TEST: ALL PASS (88)
world_save_pose_test | EXIT=0 | MODULE_24_WORLD_TEST: ALL PASS (28)
module02_game_state | EXIT=0 | MODULE_02_TEST: ALL PASS (131)
m09_dating | EXIT=0 | MODULE_09_TEST: ALL PASS (163)
m18_clone_incremental | EXIT=0 | MODULE_18_TEST: ALL PASS (110)
m20_late_game | EXIT=0 | MODULE_20_TEST: ALL PASS (101)
m21_final_date | EXIT=0 | MODULE_21_TEST: ALL PASS (78)
m22_content_data | EXIT=0 | MODULE_03_TEST: ALL PASS (139)
m23_audio_director | EXIT=0 | MODULE_23_AUDIO_TEST: ALL PASS (31)
m24_indep_qa_headless | EXIT=0 | M24_INDEP_QA: DONE passed=45 failed=0
m24_indep_qa_windowed | EXIT=0 | M24_INDEP_QA: DONE passed=51 failed=0
